x,y,z,vx,vy,vz,t
6778.137,0.0,0.0,0.0,7.668558158092217,0.0,0.0
6745.715203772707,662.1688454331214,0.0,-0.7491557492269619,7.63187721914528,0.0,86.48648648648648
6648.759980707381,1318.0029996857115,0.0,-1.4911446414941159,7.522185313089266,0.0,172.97297297297297
6488.198860890185,1961.2283717860062,0.0,-2.2188683762127797,7.340531817348483,0.0,259.4594594594595
6265.567865049697,2585.6914950244714,0.0,-2.9253651301037027,7.088654533644661,0.0,345.94594594594594
5982.996809820719,3185.4183940354314,0.0,-3.6038761509524324,6.7689630619777725,0.0,432.4324324324324
5643.188935701805,3754.6717298841913,0.0,-4.247910385913305,6.384515769995485,0.0,518.918918918919
5249.395039877311,4288.005698036966,0.0,-4.851306659789151,5.938990484073131,0.0,605.4054054054054
4805.382384993854,4780.318114320678,0.0,-5.408292506142336,5.436649378468261,0.0,691.8918918918919
4315.398652715806,5226.899233213307,0.0,-5.91353949798438,4.8822981187887855,0.0,778.3783783783783
3784.1313128762745,5623.476800139951,0.0,-6.362214128863478,4.281239973936844,0.0,864.8648648648648
3216.6627763056053,5966.256924233335,0.0,-6.7500241343413085,3.6392249916872244,0.0,951.3513513513514
2618.4217762148137,6251.960372192185,0.0,-7.0732594874813035,2.9623950765326703,0.0,1037.837837837838
1995.1314353961166,6477.853937984031,0.0,-7.328827934433162,2.257225175503194,0.0,1124.3243243243244
1352.7545075710825,6641.776593941393,0.0,-7.514284562436065,1.5304613373751688,0.0,1210.8108108108108
697.4363454436128,6742.1601600648155,0.0,-7.627855181570685,0.7890562230729085,0.0,1297.2972972972973
35.44610293864994,6778.04430903228,0.0,-7.668453310893328,0.0401025418586827,0.0,1383.7837837837837
-626.8832382721669,6749.08575221754,0.0,-7.635690564988127,-0.7092347886791339,0.0,1470.2702702702702
-1283.215450414305,6655.561523791791,0.0,-7.529880371252163,-1.4517871673466929,0.0,1556.7567567567567
-1927.2716790863526,6498.366330692104,0.0,-7.352034970856893,-2.180450908864818,0.0,1643.2432432432431
-2552.890508310589,6279.0039933900425,0.0,-7.103855736961673,-2.88825518979864,0.0,1729.7297297297296
-3154.086903618737,5999.573060151658,0.0,-6.787716900300401,-3.5684287380635533,0.0,1816.2162162162163
-3725.109475206141,5662.746727393725,0.0,-6.406642814109618,-4.214464642353596,0.0,1902.7027027027027
-4260.495485682846,5271.747273907452,0.0,-5.964279076159963,-4.820182514703233,0.0,1989.1891891891892
-4755.123124483779,4830.315225131742,0.0,-5.464857570608921,-5.37978773786553,0.0,2075.675675675676
-5204.2604947224545,4342.673578430029,0.0,-4.913156079955559,-5.88792677522945,0.0,2162.162162162162
-5603.610889158484,3813.487394688838,0.0,-4.314452471838413,-6.339738499527374,0.0,2248.6486486486488
-5949.353889080702,3247.8191781504233,0.0,-3.6744743220835905,-6.730900595843657,0.0,2335.135135135135
-6238.181916754258,2651.0804382657825,0.0,-2.9993440096301685,-7.057670995748152,0.0,2421.6216216216217
-6467.33187621453,2028.979923118636,0.0,-2.2955202312406304,-7.31692361772022,0.0,2508.108108108108
-6634.611584917631,1387.469010240087,0.0,-1.5697361833047543,-7.506178299705962,0.0,2594.5945945945946
-6738.420748902319,732.6847628166001,0.0,-0.8289351228713414,-7.623624525064838,0.0,2681.081081081081
-6777.76626934111,70.8912273686486,0.0,-0.08020398668345499,-7.668138733496198,0.0,2767.5675675675675
-6752.271744050125,-591.580494691731,0.0,0.669294426725103,-7.639295076198763,0.0,2854.054054054054
-6662.181068237991,-1248.3928147760898,0.0,1.4123899832467486,-7.537369488129527,0.0,2940.5405405405404
-6508.356101710254,-1893.262284364776,0.0,2.141973795037527,-7.363337049433083,0.0,3027.027027027027
-6292.268423696795,-2520.019707331416,0.0,2.851066238150423,-7.118862657112217,0.0,3113.5135135135133
-6015.9852534876,-3122.6691604441035,0.0,3.5328837366474493,-6.806285088612739,0.0,3200.0
-5682.1496765685515,-3695.445348373713,0.0,4.180903614000516,-6.4285946484135765,0.0,3286.4864864864862
-5293.9553594833715,-4232.868759241806,0.0,4.78892653505229,-5.989404546454098,0.0,3372.972972972973
-4855.11599071757,-4729.798093792445,0.0,5.351135816376405,-5.492916313936618,0.0,3459.459459459459
-4369.829767653693,-5181.479431765022,0.0,5.862153014091942,-4.943879670932647,0.0,3545.945945945946
-3842.7392139001117,-5583.591733164304,0.0,6.317089464513655,-4.347546991103984,0.0,3632.4324324324325
-3278.8867901159238,-5932.288153387396,0.0,6.711592961317881,-3.709623170649719,0.0,3718.9189189189187
-2683.6666292539276,-6224.23286433335,0.0,7.0418894729719534,-3.0362109247123685,0.0,3805.4054054054054
-2062.772958849902,-6456.632950503643,0.0,7.304819176416819,-2.333752541622471,0.0,3891.8918918918916
-1422.145603932847,-6627.265139505588,0.0,7.497866744194049,-1.608968116515232,0.0,3978.3783783783783
-767.9131786397579,-6734.497064419684,0.0,7.619185366876421,-0.8687913692753886,0.0,4064.8648648648646
-106.334450713878,-6777.3028823628965,0.0,7.667614440425979,-0.12030326411338982,0.0,4151.351351351352
556.2615346423567,-6755.273088079413,0.0,7.642690664663308,0.6293357352475117,0.0,4237.8378378378375
1213.5359992197177,-6668.618431214337,0.0,7.54465247514,1.3729541422741973,0.0,4324.324324324324
1859.2010743055766,-6518.167900453597,0.0,7.374437761640623,2.103438074673609,0.0,4410.810810810811
2487.079953552653,-6305.360792678216,0.0,7.133674895229669,2.8137993018048597,0.0,4497.2972972972975
3091.1659826481928,-6032.232944333226,0.0,6.824667156190539,3.497242087672336,0.0,4583.783783783783
